word,freq
建立,6
语气,6
个人,6
原理,6
十个,6
偏见,6
规律,6
有时,6
这部电影,6
聊着,6
说不定,6
质量,6
朗读,6
外国,6
神佛,6
法制,6
杯子,6
肥皂,6
楼下,6
一句,5
结束,5
接近,5
故事,5
身上,5
多久,5
放松,5
走过,5
告诉,5
半个,5
下楼,5
就是一种,5
行文,5
以往,5
维基百科,5
跟着,5
去过,5
路线,5
附近,5
身边,5
恐怖,5
表演,5
城市,5
走出,5
传统,5
牛奶,5
一座,5
更好,5
屠妖节,5
翻译,5
地上,5
庙宇,5
流派,5
华人,5
代表,5
普通话,5
其他人,5
据说,5
现象,5
仅仅,5
活动,5
混合,5
成分,5
这一,5
照顾,5
周边,5
高低,5
怎么样,5
尝试,5
今早,5
博士生,5
深入,5
细节,5
不见得,5
大脑,5
手上,5
理论,5
审美,5
安排,5
好比,5
还会,5
什么样,5
色彩,5
佛教,5
内心,5
看来,5
原因,5
放到,5
粤语,5
时候感觉,5
意思就是,5
完整,5
中午,5
时刻,5
一个月,5
擅长,5
专业,5
原物,5
习惯,5
反面,5
最早,5
回到,5
构成,5
决定,5
生命,5
平常,5
地铁站,5
总结,5
咖啡,5
动物,5
蛋糕,5
到处,5
想着,5
店子,5
武汉,5
回国,5
不断,5
大量,5
往前,5
产生,5
社区,5
地域,5
前述,5
正常,5
上线,5
实际上,5
映射,5
有用,5
是否,5
面前,5
重点,5
八卦,5
打算,5
接着,5
表达方式,5
没关系,5
首先,5
卦象,5
本卦,5
运算,5
生成,5
不知,5
当代,5
框架,5
之所以,5
汉字,5
黑色,5
近似,5
共享,5
手法,5
坐下,5
展开,5
区别,5
极限,5
包括,5
看着,5
范畴,5
倘若,5
樵夫,5
妻子,5
直播,5
浪头,5
企业,5
深刻,5
譬如,5
音乐节,5
某个,5
诗词,5
这篇,5
申请,5
油漆工,5
馄饨,5
裤子,5
第一次,5
音乐,4
耳朵,4
那样,4
上下班,4
走路,4
消耗,4
不然,4
目标,4
沿着,4
疫情,4
最高,4
没到,4
改变,4
群体,4
海绵,4
海绵宝宝,4
节奏,4
庆祝,4
二月,4
战神,4
懂哥,4
第二天,4
翻译成,4
倾向,4
中文名,4
狂欢,4
记忆,4
背后,4
里边,4
流程,4
临时,4
图像,4
聚集,4
交通,4
分割,4
相同,4
软件,4
家庭,4
无论是,4
很快,4
一段时间,4
身体,4
神圣,4
调整,4
组织,4
唯一,4
普遍,4
主体,4
神降者,4
无法,4
并非,4
回忆,4
教义,4
人家,4
无所谓,4
反而,4
深夜,4
你们,4
志愿者,4
医生,4
此前,4
流量,4
终点,4
词汇,4
所有人,4
做梦,4
等到,4
体现,4
态度,4
工作,4
四个,4
文本,4
前者,4
修行,4
讲究,4
关注,4
段时间,4
类似,4
加上,4
印裔新年,4
清醒,4
稍微,4
切换,4
街上,4
电脑前,4
灯光,4
惊讶,4
很难,4
带来,4
不行,4
人来,4
干嘛,4
我用,4
两张,4
几乎,4
手指头,4
月亮,4
信息,4
获得,4
邮件,4
高中,4
后面,4
事情变得,4
假定,4
视频,4
幻想,4
食堂,4
没事,4
知识,4
觉得这些,4
眼睛,4
清楚,4
影响,4
系统,4
文章,4
同行,4
精妙,4
上来,4
一半,4
还好,4
思维,4
周四,4
三个,4
西南,4
事实上,4
手机,4
药材,4
烧鸭,4
很妙,4
中医,4
香蕉,4
不如,4
集中,4
技师,4
舒服,4
上海,4
两位,4
时候看到,4
觉得一样,4
烤串,4
相信,4
接口,4
操作,4
难民,4
阶级矛盾,4
调和,4
教育,4
可怕,4
一类,4
一处,4
鼓吹,4
十分,4
一地,4
做出,4
日本,4
作者,4
姑且,4
一旦,4
排队,4
政治难民,4
一样东西,4
工资购买力,4
绝对工资,4
两周,4
电脑,4
碳基,4
适用,4
反应,4
卜卦,4
干什么,4
硬币,4
高级,4
这时候,4
少阴,4
一步,4
变换,4
引入,4
相比,4
现有,4
公司,4
友好,4
动词,4
构建,4
对立,4
一套,4
循证,4
向量,4
维度,4
自然科学,4
阐释,4
关联,4
抽象抽象,4
来自,4
指向,4
写过,4
模糊,4
语音,4
历史,4
萎缩,4
几何,4
面积,4
黎曼积分,4
字来,4
精细,4
两种,4
走到,4
十个字来,4
字来描述,4
